sample,bam,pop,era
TzoCMal001,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMal001.merged.realn.bam,TzoCMal,modern
TzoCMal002,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMal002.merged.realn.bam,TzoCMal,modern
TzoCMal003,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMal003.merged.realn.bam,TzoCMal,modern
TzoCMal004,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMal004.merged.realn.bam,TzoCMal,modern
TzoCMal005,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMal005.merged.realn.bam,TzoCMal,modern
TzoCMta001,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMta001.merged.realn.bam,TzoCMta,modern
TzoCMta005,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMta005.merged.realn.bam,TzoCMta,modern
TzoCMta009,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMta009.merged.realn.bam,TzoCMta,modern
TzoCMta010,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMta010.merged.realn.bam,TzoCMta,modern
TzoCMta012,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMta012.merged.realn.bam,TzoCMta,modern
TzoCMvi006,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMvi006.merged.realn.bam,TzoCMvi,modern
TzoCMvi007,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMvi007.merged.realn.bam,TzoCMvi,modern
TzoCMvi011,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMvi011.merged.realn.bam,TzoCMvi,modern
TzoCMvi012,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/popstructure_trim/data/bam/TzoCMvi012.merged.realn.bam,TzoCMvi,modern
TzoABol008,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/Generode_20k/results/historical/mapping/reference.denovoSSL.Tzo20k/TzoABol008.merged.rmdup.merged.realn.bam,TzoABol,historic
TzoABol009,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/Generode_20k/results/historical/mapping/reference.denovoSSL.Tzo20k/TzoABol009.merged.rmdup.merged.realn.bam,TzoABol,historic
TzoABol010,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/Generode_20k/results/historical/mapping/reference.denovoSSL.Tzo20k/TzoABol010.merged.rmdup.merged.realn.bam,TzoABol,historic
TzoABol020,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/Generode_20k/results/historical/mapping/reference.denovoSSL.Tzo20k/TzoABol020.merged.rmdup.merged.realn.bam,TzoABol,historic
TzoABol026,/archive/carpenterlab/pire/marianne/pire_taeniamia_zosterophora_annotation/Generode_20k/results/historical/mapping/reference.denovoSSL.Tzo20k/TzoABol026.merged.rmdup.merged.realn.bam,TzoABol,historic
